Date,Region,Game Mode Id,Game Mode,Match Mode Id,Match Mode,Is Ugc,Player Users,Lv5 Player Cnt,Lv8 Player Cnt,Lv12 Player Cnt,R2,R7,Game C2,Game C7,Mode C2,Mode C7,Quantile30 Match Cnt,Quantile50 Match Cnt,Quantile70 Match Cnt,Participate Rate,Real Participate Rate,Avg Survival Time,Avg Match Cnt,Avg Match Survival Time,,Date: 2022-01-01 -- 2025-09-30
2022-02-21,ME,1,Battle Royale (BR),2,Ranking Match,False,1422730,1422730,1422730,1389426,64.02%,53.09%,14.16%,24.01%,21.82%,22.90%,2.00,4.00,7.00,38.64%,42.87%,2713.71,6.23,435.48
2022-02-21,ME,15,Clash Squad (CS),6,CS Ranking,False,1351759,1351759,1351759,1315950,59.86%,47.85%,16.68%,27.51%,23.46%,24.64%,1.00,2.00,4.00,36.71%,40.73%,2211.30,3.99,554.53
2022-02-22,ME,1,Battle Royale (BR),2,Ranking Match,False,1378903,1378903,1378903,1347441,65.10%,54.15%,13.74%,24.30%,21.16%,21.55%,2.00,4.00,7.00,38.72%,42.48%,2671.62,6.15,434.72
2022-02-22,ME,15,Clash Squad (CS),6,CS Ranking,False,1350285,1350285,1350285,1315991,60.15%,47.49%,15.98%,27.60%,23.87%,24.91%,1.00,3.00,4.00,37.92%,41.60%,2235.95,4.03,555.21
2022-02-23,ME,1,Battle Royale (BR),2,Ranking Match,False,1380877,1380877,1380877,1349369,66.24%,53.68%,12.93%,24.25%,20.83%,22.06%,2.00,4.00,7.00,38.92%,42.63%,2622.20,6.06,432.74
2022-02-23,ME,15,Clash Squad (CS),6,CS Ranking,False,1343926,1343926,1343926,1309928,61.09%,47.48%,15.14%,27.56%,23.77%,24.96%,1.00,2.00,4.00,37.88%,41.49%,2213.52,3.99,554.52
2022-02-24,ME,1,Battle Royale (BR),2,Ranking Match,False,1475022,1475022,1475022,1440608,67.17%,51.52%,12.09%,26.26%,20.74%,22.22%,2.00,4.00,7.00,39.04%,42.77%,2568.38,6.00,428.03
2022-02-24,ME,15,Clash Squad (CS),6,CS Ranking,False,1429150,1429150,1429150,1392120,63.35%,45.53%,14.28%,29.54%,22.36%,24.93%,1.00,2.00,4.00,37.83%,41.44%,2195.06,3.98,551.62
2022-02-25,ME,1,Battle Royale (BR),2,Ranking Match,False,1609081,1609081,1609081,1569924,60.94%,51.23%,15.33%,26.24%,23.73%,22.52%,2.00,4.00,7.00,39.63%,43.28%,2613.70,6.18,423.10
2022-02-25,ME,15,Clash Squad (CS),6,CS Ranking,False,1600595,1600595,1600595,1558518,56.84%,44.92%,17.61%,28.99%,25.55%,26.10%,2.00,3.00,4.00,39.42%,43.05%,2296.45,4.19,547.63
2022-02-26,ME,1,Battle Royale (BR),2,Ranking Match,False,1477862,1477862,1477862,1442172,61.88%,55.22%,16.01%,23.36%,22.11%,21.42%,2.00,4.00,6.00,37.91%,41.74%,2477.68,5.84,424.28
